"begin_date","end_date","fips","type"
1999-09-13,1999-09-13,"35001","Hail"
1999-09-12,1999-09-12,"35027","Hail"
1999-09-12,1999-09-12,"35047","Hail"
1999-09-13,1999-09-13,"35003","Hail"
1999-09-15,1999-09-16,"37086","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12059","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37038","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"19045","Hail"
1999-09-14,1999-09-14,"04025","Tornado"
1999-09-15,1999-09-16,"37039","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51099","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51097","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12099","Tornado"
1999-09-17,1999-09-17,"12086","Funnel Cloud"
1999-09-15,1999-09-15,"45011","Thunderstorm Wind"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-15,1999-09-15,"12033","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"40047","Hail"
1999-09-19,1999-09-19,"40103","Hail"
1999-09-19,1999-09-19,"40047","Hail"
1999-09-15,1999-09-15,"45009","Thunderstorm Wind"
1999-09-15,1999-09-15,"45025","Thunderstorm Wind"
1999-09-15,1999-09-15,"45057","Thunderstorm Wind"
1999-09-15,1999-09-15,"45027","Thunderstorm Wind"
1999-09-15,1999-09-15,"45063","Thunderstorm Wind"
1999-09-15,1999-09-15,"45079","Thunderstorm Wind"
1999-09-15,1999-09-15,"45071","Thunderstorm Wind"
1999-09-15,1999-09-15,"45061","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-19,1999-09-19,"40009","Thunderstorm Wind"
1999-09-19,1999-09-19,"40009","Hail"
1999-09-19,1999-09-19,"40129","Hail"
1999-09-19,1999-09-19,"40129","Hail"
1999-09-15,1999-09-16,"37137","Flash Flood"
1999-09-15,1999-09-15,"45039","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-16,1999-09-17,"36066","High Wind"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-15,1999-09-16,"37117","Flash Flood"
1999-09-15,1999-09-15,"13116","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"35019","Hail"
1999-09-14,1999-09-14,"35041","Thunderstorm Wind"
1999-09-15,1999-09-15,"35041","Hail"
1999-09-14,1999-09-14,"35055","Lightning"
1999-09-15,1999-09-15,"13140","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13119","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13139","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12054","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12047","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"10005","Flash Flood"
1999-09-19,1999-09-19,"40103","Hail"
1999-09-19,1999-09-19,"40087","Thunderstorm Wind"
1999-09-19,1999-09-19,"40051","Hail"
1999-09-19,1999-09-19,"40087","Hail"
1999-09-19,1999-09-19,"40051","Hail"
1999-09-18,1999-09-18,"16019","Thunderstorm Wind"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-16,1999-09-17,"09001","High Wind"
1999-09-15,1999-09-16,"45045","Hurricane (Typhoon)"
1999-09-13,1999-09-13,"35043","Hail"
1999-09-14,1999-09-14,"35041","Hail"
1999-09-14,1999-09-14,"35041","Flash Flood"
1999-09-16,1999-09-16,"51111","Flash Flood"
1999-09-15,1999-09-16,"37191","Flash Flood"
1999-09-15,1999-09-16,"37022","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37011","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"51570","Flash Flood"
1999-09-15,1999-09-15,"37031","Tornado"
1999-09-17,1999-09-18,"02014","High Wind"
1999-09-17,1999-09-17,"02017","Heavy Rain"
1999-09-16,1999-09-16,"51041","Flash Flood"
1999-09-16,1999-09-16,"25005","High Wind"
1999-09-16,1999-09-16,"37187","Flash Flood"
1999-09-16,1999-09-16,"51097","Flash Flood"
1999-09-16,1999-09-17,"50007","High Wind"
1999-09-15,1999-09-15,"37147","Tornado"
1999-09-12,1999-09-12,"15009","Funnel Cloud"
1999-09-16,1999-09-16,"51127","Flash Flood"
1999-09-15,1999-09-15,"37137","Tornado"
1999-09-15,1999-09-16,"37085","Flash Flood"
1999-09-15,1999-09-16,"37101","Flash Flood"
1999-09-15,1999-09-16,"37127","Flash Flood"
1999-09-15,1999-09-16,"37183","Flash Flood"
1999-09-16,1999-09-16,"51007","Flash Flood"
1999-09-15,1999-09-19,"51181","Flash Flood"
1999-09-15,1999-09-17,"51830","Flash Flood"
1999-09-17,1999-09-18,"02017","High Wind"
1999-09-17,1999-09-18,"02015","High Wind"
1999-09-17,1999-09-18,"02013","High Wind"
1999-09-16,1999-09-16,"51760","Flash Flood"
1999-09-15,1999-09-16,"37017","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"24021","Hurricane (Typhoon)"
1999-09-15,1999-09-17,"51199","Flash Flood"
1999-09-15,1999-09-15,"37031","Tornado"
1999-09-15,1999-09-15,"37013","Waterspout"
1999-09-16,1999-09-19,"51183","Flash Flood"
1999-09-15,1999-09-17,"51550","Flash Flood"
1999-09-15,1999-09-15,"37143","Tornado"
1999-09-15,1999-09-15,"37137","Tornado"
1999-09-15,1999-09-17,"51735","Flash Flood"
1999-09-16,1999-09-16,"51117","Flash Flood"
1999-09-16,1999-09-16,"51101","Flash Flood"
1999-09-15,1999-09-16,"37010","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37163","Flash Flood"
1999-09-16,1999-09-16,"37013","High Wind"
1999-09-16,1999-09-16,"37012","High Wind"
1999-09-16,1999-09-17,"09003","Flash Flood"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-16,1999-09-16,"42099","Flash Flood"
1999-09-16,1999-09-16,"42107","Flash Flood"
1999-09-16,1999-09-16,"42133","Flash Flood"
1999-09-16,1999-09-16,"42037","Flash Flood"
1999-09-16,1999-09-16,"42081","Flash Flood"
1999-09-16,1999-09-16,"42093","Flash Flood"
1999-09-16,1999-09-16,"42097","Flash Flood"
1999-09-16,1999-09-16,"42109","Flash Flood"
1999-09-16,1999-09-16,"42119","Flash Flood"
1999-09-16,1999-09-17,"09002","Strong Wind"
1999-09-14,1999-09-14,"98006","Flood"
1999-09-16,1999-09-17,"44007","Flash Flood"
1999-09-16,1999-09-17,"44003","Flash Flood"
1999-09-15,1999-09-16,"37075","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-14,1999-09-14,"04025","Lightning"
1999-09-16,1999-09-16,"34002","High Wind"
1999-09-16,1999-09-16,"34004","High Wind"
1999-09-16,1999-09-16,"37147","Flash Flood"
1999-09-16,1999-09-16,"37133","Flash Flood"
1999-09-16,1999-09-16,"25003","High Wind"
1999-09-18,1999-09-18,"12115","Waterspout"
1999-09-16,1999-09-18,"09003","Flash Flood"
1999-09-15,1999-09-16,"37026","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"09004","Strong Wind"
1999-09-16,1999-09-16,"44007","Strong Wind"
1999-09-15,1999-09-16,"51086","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51085","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37074","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"42043","Flash Flood"
1999-09-16,1999-09-16,"42071","Flash Flood"
1999-09-16,1999-09-16,"42075","Flash Flood"
1999-09-17,1999-09-19,"09002","Flood"
1999-09-16,1999-09-16,"25004","High Wind"
1999-09-15,1999-09-16,"51094","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51095","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51100","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51077","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51096","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51089","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51098","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51091","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"37049","Flash Flood"
1999-09-16,1999-09-17,"09003","Heavy Rain"
1999-09-16,1999-09-16,"49037","Hail"
1999-09-14,1999-09-14,"20067","Hail"
1999-09-14,1999-09-14,"20119","Hail"
1999-09-14,1999-09-14,"20097","Hail"
1999-09-14,1999-09-14,"20097","Hail"
1999-09-19,1999-09-19,"08077","Flash Flood"
1999-09-17,1999-09-17,"01024","Cold/Wind Chill"
1999-09-17,1999-09-17,"01006","Cold/Wind Chill"
1999-09-14,1999-09-14,"20093","Hail"
1999-09-14,1999-09-14,"20069","Hail"
1999-09-14,1999-09-14,"20069","Hail"
1999-09-14,1999-09-14,"37117","Flash Flood"
1999-09-16,1999-09-16,"37031","Flash Flood"
1999-09-16,1999-09-16,"42001","Flash Flood"
1999-09-16,1999-09-16,"42041","Flash Flood"
1999-09-16,1999-09-16,"36067","High Wind"
1999-09-16,1999-09-16,"36068","High Wind"
1999-09-15,1999-09-16,"37043","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"48337","Thunderstorm Wind"
1999-09-12,1999-09-12,"48237","Hail"
1999-09-15,1999-09-16,"37021","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37077","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37028","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"55029","Waterspout"
1999-09-15,1999-09-15,"48303","Hail"
1999-09-15,1999-09-15,"48303","Flash Flood"
1999-09-12,1999-09-12,"05109","Hail"
1999-09-16,1999-09-16,"36081","Flash Flood"
1999-09-16,1999-09-16,"36059","Flash Flood"
1999-09-16,1999-09-17,"36071","Flash Flood"
1999-09-16,1999-09-17,"36079","Flash Flood"
1999-09-16,1999-09-16,"36103","Flash Flood"
1999-09-16,1999-09-18,"36087","Flash Flood"
1999-09-16,1999-09-17,"36119","Flash Flood"
1999-09-16,1999-09-16,"36005","Flash Flood"
1999-09-16,1999-09-16,"36061","Flash Flood"
1999-09-16,1999-09-16,"44004","Strong Wind"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-14,1999-09-14,"04025","Funnel Cloud"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-14,1999-09-14,"04025","Tornado"
1999-09-14,1999-09-14,"04025","Funnel Cloud"
1999-09-19,1999-09-19,"55117","Lightning"
1999-09-15,1999-09-18,"51700","Flash Flood"
1999-09-16,1999-09-16,"51135","Flash Flood"
1999-09-16,1999-09-16,"37107","Flash Flood"
1999-09-16,1999-09-16,"37117","Flash Flood"
1999-09-16,1999-09-16,"37061","Flash Flood"
1999-09-16,1999-09-17,"25027","Heavy Rain"
1999-09-16,1999-09-16,"34031","Flash Flood"
1999-09-16,1999-09-17,"34003","Flash Flood"
1999-09-16,1999-09-16,"34013","Flash Flood"
1999-09-16,1999-09-16,"34017","Flash Flood"
1999-09-16,1999-09-17,"34039","Flash Flood"
1999-09-16,1999-09-16,"36047","Flash Flood"
1999-09-15,1999-09-15,"37031","Tornado"
1999-09-16,1999-09-16,"36085","Flash Flood"
1999-09-16,1999-09-16,"09011","Heavy Rain"
1999-09-16,1999-09-17,"09001","Flash Flood"
1999-09-16,1999-09-18,"09009","Flash Flood"
1999-09-16,1999-09-16,"09007","Flash Flood"
1999-09-16,1999-09-16,"44002","High Wind"
1999-09-15,1999-09-15,"37137","Funnel Cloud"
1999-09-15,1999-09-15,"37137","Tornado"
1999-09-15,1999-09-15,"37049","Tornado"
1999-09-16,1999-09-16,"37063","Flash Flood"
1999-09-16,1999-09-16,"37105","Flash Flood"
1999-09-16,1999-09-16,"51081","Flash Flood"
1999-09-15,1999-09-18,"37091","Flash Flood"
1999-09-16,1999-09-17,"37131","Flash Flood"
1999-09-16,1999-09-16,"51073","High Wind"
1999-09-16,1999-09-16,"51072","High Wind"
1999-09-16,1999-09-16,"51081","High Wind"
1999-09-15,1999-09-16,"24025","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"51092","High Wind"
1999-09-16,1999-09-16,"51079","High Wind"
1999-09-16,1999-09-16,"51064","High Wind"
1999-09-15,1999-09-16,"37030","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"51133","Flash Flood"
1999-09-16,1999-09-16,"51082","High Wind"
1999-09-16,1999-09-16,"51159","Flash Flood"
1999-09-15,1999-09-16,"24023","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37089","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"24024","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37073","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37041","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37195","Flash Flood"
1999-09-16,1999-09-16,"51149","Flash Flood"
1999-09-15,1999-09-16,"37027","Hurricane (Typhoon)"
1999-09-17,1999-09-17,"36034","High Wind"
1999-09-17,1999-09-17,"36028","High Wind"
1999-09-15,1999-09-16,"37009","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"36035","High Wind"
1999-09-15,1999-09-25,"51175","Flash Flood"
1999-09-17,1999-09-17,"50003","High Wind"
1999-09-17,1999-09-17,"50005","High Wind"
1999-09-16,1999-09-16,"51080","High Wind"
1999-09-15,1999-09-16,"37031","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"51087","High Wind"
1999-09-16,1999-09-16,"51063","High Wind"
1999-09-16,1999-09-16,"51071","High Wind"
1999-09-17,1999-09-17,"50002","High Wind"
1999-09-17,1999-09-17,"36031","High Wind"
1999-09-16,1999-09-17,"50012","High Wind"
1999-09-17,1999-09-17,"36031","Flash Flood"
1999-09-17,1999-09-17,"50017","Flash Flood"
1999-09-15,1999-09-17,"51740","Flash Flood"
1999-09-15,1999-09-16,"24022","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"37015","Tornado"
1999-09-16,1999-09-16,"51085","Flash Flood"
1999-09-16,1999-09-17,"37041","Flash Flood"
1999-09-15,1999-09-19,"37015","Flash Flood"
1999-09-15,1999-09-17,"51095","Flash Flood"
1999-09-15,1999-09-16,"51073","Flash Flood"
1999-09-16,1999-09-17,"09015","Heavy Rain"
1999-09-16,1999-09-16,"37181","Flash Flood"
1999-09-13,1999-09-13,"99113","Flood"
1999-09-17,1999-09-17,"99097","Flood"
1999-09-19,1999-09-19,"99069","Flash Flood"
1999-09-16,1999-09-17,"09013","Heavy Rain"
1999-09-15,1999-09-15,"37133","Funnel Cloud"
1999-09-16,1999-09-17,"44003","Heavy Rain"
1999-09-12,1999-09-12,"06071","Hail"
1999-09-12,1999-09-12,"32003","Hail"
1999-09-16,1999-09-17,"25019","High Wind"
1999-09-19,1999-09-19,"96010","High Surf"
1999-09-15,1999-09-16,"37042","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37085","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"97002","Flood"
1999-09-15,1999-09-16,"97002","Flood"
1999-09-15,1999-09-16,"37008","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"25022","High Wind"
1999-09-15,1999-09-16,"37015","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"37133","Tornado"
1999-09-15,1999-09-15,"37187","Tornado"
1999-09-15,1999-09-15,"37095","Tornado"
1999-09-16,1999-09-16,"25010","High Wind"
1999-09-15,1999-09-15,"37031","Thunderstorm Wind"
1999-09-16,1999-09-17,"25015","Strong Wind"
1999-09-16,1999-09-17,"25023","High Wind"
1999-09-16,1999-09-16,"25011","High Wind"
1999-09-16,1999-09-16,"08051","Flash Flood"
1999-09-19,1999-09-19,"55135","Thunderstorm Wind"
1999-09-19,1999-09-19,"55071","Hail"
1999-09-16,1999-09-17,"44007","Heavy Rain"
1999-09-16,1999-09-16,"44005","Strong Wind"
1999-09-15,1999-09-15,"48305","Hail"
1999-09-15,1999-09-15,"48303","Hail"
1999-09-15,1999-09-15,"48303","Hail"
1999-09-19,1999-09-19,"55105","Hail"
1999-09-16,1999-09-17,"25025","Heavy Rain"
1999-09-16,1999-09-16,"37079","Flash Flood"
1999-09-19,1999-09-19,"55055","Thunderstorm Wind"
1999-09-14,1999-09-14,"04025","Thunderstorm Wind"
1999-09-16,1999-09-16,"04005","Tornado"
1999-09-16,1999-09-16,"04025","Hail"
1999-09-16,1999-09-16,"42041","High Wind"
1999-09-16,1999-09-16,"42064","High Wind"
1999-09-16,1999-09-16,"42053","High Wind"
1999-09-16,1999-09-16,"42063","High Wind"
1999-09-16,1999-09-16,"42057","High Wind"
1999-09-16,1999-09-16,"42066","High Wind"
1999-09-15,1999-09-15,"48305","Hail"
1999-09-16,1999-09-17,"33011","Heavy Rain"
1999-09-16,1999-09-17,"33005","Heavy Rain"
1999-09-15,1999-09-16,"37078","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"48219","Hail"
1999-09-15,1999-09-15,"48303","Hail"
1999-09-15,1999-09-15,"48501","Hail"
1999-09-15,1999-09-15,"48305","Hail"
1999-09-15,1999-09-16,"37023","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37083","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"42059","High Wind"
1999-09-16,1999-09-16,"42058","High Wind"
1999-09-16,1999-09-16,"42050","High Wind"
1999-09-16,1999-09-16,"42046","High Wind"
1999-09-16,1999-09-16,"42042","High Wind"
1999-09-16,1999-09-16,"42049","High Wind"
1999-09-16,1999-09-16,"42065","High Wind"
1999-09-16,1999-09-17,"09002","Flood"
1999-09-16,1999-09-17,"44005","Heavy Rain"
1999-09-15,1999-09-15,"37137","Tornado"
1999-09-19,1999-09-19,"12127","Flash Flood"
1999-09-16,1999-09-16,"37137","Flash Flood"
1999-09-16,1999-09-16,"37013","Flash Flood"
1999-09-16,1999-09-17,"44001","Heavy Rain"
1999-09-16,1999-09-17,"09003","Strong Wind"
1999-09-16,1999-09-16,"33011","Strong Wind"
1999-09-16,1999-09-16,"02022","High Wind"
1999-09-13,1999-09-13,"35017","Hail"
1999-09-18,1999-09-30,"06107","Wildfire"
1999-09-16,1999-09-16,"37103","Flash Flood"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-14,1999-09-14,"04025","Hail"
1999-09-15,1999-09-15,"04025","Hail"
1999-09-15,1999-09-15,"04025","Tornado"
1999-09-15,1999-09-15,"04025","Hail"
1999-09-16,1999-09-17,"44009","Heavy Rain"
1999-09-16,1999-09-17,"25012","Strong Wind"
1999-09-16,1999-09-16,"44003","Strong Wind"
1999-09-16,1999-09-16,"44006","High Wind"
1999-09-17,1999-09-17,"02018","High Wind"
1999-09-16,1999-09-16,"44001","Strong Wind"
1999-09-16,1999-09-17,"09003","Flash Flood"
1999-09-16,1999-09-17,"25018","Strong Wind"
1999-09-16,1999-09-17,"25021","Strong Wind"
1999-09-16,1999-09-17,"25011","Flood"
1999-09-16,1999-09-17,"25020","High Wind"
1999-09-17,1999-09-18,"02007","High Wind"
1999-09-16,1999-09-17,"51058","Flood"
1999-09-16,1999-09-17,"25021","Heavy Rain"
1999-09-16,1999-09-16,"37077","Flash Flood"
1999-09-16,1999-09-18,"33001","Flash Flood"
1999-09-16,1999-09-16,"37037","Flash Flood"
1999-09-16,1999-09-16,"37093","Flash Flood"
1999-09-14,1999-09-14,"02017","High Wind"
1999-09-17,1999-09-17,"23017","Flash Flood"
1999-09-17,1999-09-18,"23025","Flash Flood"
1999-09-17,1999-09-17,"23024","Flood"
1999-09-17,1999-09-18,"23012","Flood"
1999-09-17,1999-09-19,"23020","Flood"
1999-09-17,1999-09-19,"23014","Flood"
1999-09-18,1999-09-18,"23021","Flood"
1999-09-17,1999-09-17,"23005","Flash Flood"
1999-09-17,1999-09-17,"23007","Flash Flood"
1999-09-17,1999-09-18,"23001","Flash Flood"
1999-09-16,1999-09-16,"25009","High Wind"
1999-09-17,1999-09-18,"23011","Flash Flood"
1999-09-15,1999-09-16,"37018","High Wind"
1999-09-15,1999-09-16,"51043","High Wind"
1999-09-15,1999-09-16,"37019","High Wind"
1999-09-15,1999-09-16,"37005","High Wind"
1999-09-15,1999-09-16,"37003","High Wind"
1999-09-16,1999-09-16,"45033","Flash Flood"
1999-09-15,1999-09-16,"45051","Flash Flood"
1999-09-15,1999-09-16,"45043","Flash Flood"
1999-09-16,1999-09-16,"45067","Flash Flood"
1999-09-17,1999-09-18,"33004","Flood"
1999-09-16,1999-09-17,"25023","Heavy Rain"
1999-09-15,1999-09-16,"45033","High Wind"
1999-09-16,1999-09-17,"25017","Strong Wind"
1999-09-12,1999-09-12,"48135","Flash Flood"
1999-09-16,1999-09-17,"25013","Strong Wind"
1999-09-16,1999-09-17,"25007","Strong Wind"
1999-09-16,1999-09-17,"25009","Heavy Rain"
1999-09-16,1999-09-17,"25016","Strong Wind"
1999-09-16,1999-09-16,"37033","Flash Flood"
1999-09-15,1999-09-16,"51058","High Wind"
1999-09-16,1999-09-17,"25013","Heavy Rain"
1999-09-16,1999-09-17,"25017","Heavy Rain"
1999-09-15,1999-09-15,"12031","Thunderstorm Wind"
1999-09-15,1999-09-15,"12121","Flash Flood"
1999-09-15,1999-09-15,"12038","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"12035","Flash Flood"
1999-09-16,1999-09-17,"25002","Strong Wind"
1999-09-16,1999-09-17,"25006","Strong Wind"
1999-09-16,1999-09-17,"25008","Strong Wind"
1999-09-15,1999-09-16,"45032","High Wind"
1999-09-16,1999-09-16,"25017","Flash Flood"
1999-09-16,1999-09-16,"11001","Tropical Storm"
1999-09-15,1999-09-16,"45024","High Wind"
1999-09-16,1999-09-16,"51056","High Wind"
1999-09-16,1999-09-16,"51059","Flash Flood"
1999-09-16,1999-09-16,"51177","Flash Flood"
1999-09-15,1999-09-16,"45039","High Wind"
1999-09-12,1999-09-12,"05055","Lightning"
1999-09-16,1999-09-16,"51630","Flash Flood"
1999-09-16,1999-09-16,"51179","Flash Flood"
1999-09-16,1999-09-16,"51610","Flash Flood"
1999-09-16,1999-09-16,"51683","Flash Flood"
1999-09-16,1999-09-16,"51685","Flash Flood"
1999-09-16,1999-09-16,"51510","Flash Flood"
1999-09-16,1999-09-16,"51013","Flash Flood"
1999-09-16,1999-09-16,"51187","Heavy Rain"
1999-09-16,1999-09-16,"51600","Flash Flood"
1999-09-16,1999-09-16,"51099","Flash Flood"
1999-09-16,1999-09-16,"51153","Flash Flood"
1999-09-16,1999-09-16,"51031","High Wind"
1999-09-16,1999-09-16,"51042","High Wind"
1999-09-16,1999-09-16,"51030","High Wind"
1999-09-16,1999-09-16,"51028","High Wind"
1999-09-16,1999-09-16,"51053","Tropical Storm"
1999-09-16,1999-09-16,"51054","Tropical Storm"
1999-09-16,1999-09-16,"51052","Tropical Storm"
1999-09-16,1999-09-16,"51055","Tropical Storm"
1999-09-16,1999-09-16,"51057","Tropical Storm"
1999-09-16,1999-09-17,"25014","Strong Wind"
1999-09-14,1999-09-14,"12109","Thunderstorm Wind"
1999-09-16,1999-09-16,"11001","Flash Flood"
1999-09-16,1999-09-17,"25005","Heavy Rain"
1999-09-15,1999-09-16,"45046","Hurricane (Typhoon)"
